# idx ew_lya ew_lya_err fesc_lya fesc_lya_err_l fesc_lya_err_u
sc_UDS024105_P4M1Q2_P2M4Q2_001_1.fits 6.52 2.33 0.029866472924995616 0.008120264188155733 0.012807650418900828
sc_UDS024885_P2M2Q2_P2M3Q2_015_2.fits 16.83 1.61 0.44538377584179684 0.34834423388184615 0.2285352097113183
sc_UDS025085_P4M1Q2_P2M4Q2_002_5.fits 29.28 3.03 0.25714621742053717 0.1146782685188904 0.3408956275894149
sc_UDS025237_P2M3Q2_P2M4Q2_024_2.fits 4.04 1.22 0.011822460885655382 0.0031278704350033593 0.005208506056196924
sc_UDS025567_P2M2Q2_P2M3Q2_028_2.fits 9.14 1.09 0.22321436297762354 0.2805265690981676 0.17554449387864757
sc_UDS025660_P2M3Q1_P4M4Q1_P2M2Q1_001_1.fits 9.24 2.81 0.12718426282194498 0.07860767854387442 0.050319489272136086
sc_UDS026054_P2M2Q1_P2M3Q1_037_2.fits 3.57 2.07 0.015963537631733766 0.024416399151468964 0.019185776673076034
sc_UDS026193_P3M3Q2_P2M3Q1_001_1.fits 4.58 2.34 0.0037459616963573875 0.0017061846614657861 0.0048893157983232564
sc_UDS026775_P4M2Q1_P4M3Q1_004_1.fits 3.65 2.23 0.06665088072221433 0.08607971112522343 0.05677377343711858
sc_UDS026811_P1M1Q2_P1M2Q2_021_1.fits 8.86 4.94 0.02868681419076725 0.011749770753744653 0.03188730542730832
sc_UDS028170_P1M1Q4_P1M2Q4_029_1.fits 11.2 3.65 0.024929074571703257 0.0051758570112617995 0.007073075833559914
sc_UDS028463_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_006_1.fits 7.73 2.06 0.21108117213668245 0.24271954020063546 0.15107892596905287
sc_UDS032490_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_004_1.fits 68.21 18.87 0.41086735202869235 0.17610156894416024 0.5527470853838788
sc_UDS032625_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_005_1.fits 2.87 1.78 0.005010422147334684 0.001738387557886681 0.003958963078863008
sc_UDS034333_P1M1Q2_P2M1Q1_P2M2Q1_P2M3Q1_001_1.fits 2.89 11.58 0.0006130933534025471 0.00011103928130400055 0.00013665532012085806
sc_UDS279265_P3M1Q4_032_1.fits 14.95 5.4 0.0878794463018851 0.14682301663083955 0.10675591571731077
sc_UDS279944_P3M2Q4_P3M3Q4_009_1.fits 8.54 2.45 0.054168963545249256 0.01514553104456709 0.025165662133101632
sc_UDS280016_P2M1Q3_012_1.fits 20.88 4.24 0.09109647222029392 0.023882709579906097 0.03930831083357936
sc_UDS282599_P3M1Q3_001_1.fits 21.26 5.08 0.09976958147260565 0.04032088990598781 0.11915144203270814
sc_UDS282689_P2M1Q3_P2M2Q3_007_3.fits 9.92 5.25 0.010508795780954115 0.0032497586284839985 0.006625665624643199
sc_UDS284472_P2M3Q4_P2M4Q4_002_1.fits 44.88 4.56 0.19397996743351384 0.05542939078259007 0.10291656990004028
sc_UDS292392_P1M1Q4_045_2.fits 29.71 3.89 0.47644477877202385 0.19993993579031966 0.6400982596711696
sc_UDS293858_P4M1Q3_P2M4Q3_002_1.fits 3.18 8.33 0.0020748661854883685 0.0008941435609950363 0.002756128767734736
sc_UDS294658_P2M1Q3_014_1.fits 2.41 1.37 0.011904207608294753 0.012371213631905431 0.008097649487276034
sc_UDS300997_P3M4Q3_016_2.fits 21.09 2.03 0.06685576624784896 0.015403620101370044 0.02283069533732314
sc_UDS301028_P1M2Q4_P3M1Q4_003_1.fits 8.2 1.95 0.0228176773781412 0.007611768508114382 0.016324098253819683
sc_UDS302124_P1M1Q3_P1M2Q3_038_2.fits 5.47 2.3 0.034991721343083516 0.05532045814829366 0.044488076867895555
sc_UDS302862_P1M2Q4_P1M3Q4_009_1.fits 8.83 1.79 0.0376574860558372 0.013881156677982696 0.03541756320780086
sc_UDS304708_P2M4Q4_P3M1Q3_001_1.fits 5.53 1.71 0.11022997634205522 0.13222038784191542 0.08617851295181733
sc_UDS306071_P2M1Q4_P2M2Q4_006_1.fits 5.94 3.37 0.0011743323231138193 0.0004960806157846937 0.0015061893601606602
sc_UDS308474_P1M3Q4_P1M4Q4_027_2.fits 9.9 4.99 0.021077867400684562 0.009302111884152475 0.027192500782344815
sc_UDS310284_P4M4Q4_006_1.fits 3.02 0.79 0.012846331446670474 0.005220366283452344 0.01608649811800342
sc_UDS312430_P3M1Q3_023_1.fits 11.07 3.43 0.051065137072085834 0.08332821383719663 0.062263083365308405
sc_UDS313223_P1M4Q3_P2M1Q4_006_1.fits 2.47 0.87 0.01986492029338128 0.026005314149847455 0.01632963187238191
sc_UDS316156_P1M1Q4_P1M4Q4_017_2.fits 9.4 4.15 3.808186446982861 0.2628465532444085 0.19041230931356587
sc_UDS378854_P1M1Q2_P1M2Q2_P1M3Q2_P1M4Q2_002_1.fits 7.91 0.4 0.01573733509392669 0.005504314763812064 0.013386025209751951
sc_UDS379641_P3M3Q2_P3M2Q2_012_1.fits 7.53 2.84 0.0153510776740375 0.005919800257696823 0.015958062325207065
